S5-CLM-00003486	Arxiv.«0912.2382».curling_number_conjecture	The sequence will eventually reach $1$.	(S₀ : List ℤ) (h : S₀ ≠ []) : ∃ m, k (S S₀ m) = 1
S5-CLM-00003508	Arxiv.«2501.03234».conjecture_4_1	**Conjecture 4.1**: For any prime $k$ larger than $5$, $S(k) > k$.	(k : ℕ) (hprim : k.Prime) (hodd : Odd k) (hgt : k > 5) : k < S k
S5-CLM-00003509	Arxiv.«2501.03234».conjecture_4_2	**Conjecture 4.2**: For any prime $k$ larger than $233$, $S(k) > 2k$.	(k : ℕ) (hprim : k.Prime) (hodd : Odd k) (hgt : k > 233) : 2 * k < S k
S5-CLM-00003510	Arxiv.«2501.03234».conjecture_4_3	**Conjecture 4.3**: For any prime $k$ larger than $3119$, $S(k) > 3k$.	(k : ℕ) (hprim : k.Prime) (hodd : Odd k) (hgt : k > 3119) : 3 * k < S k
S5-CLM-00003511	Arxiv.«2501.03234».conjecture_4_4	**Conjecture 4.4**: Given a natural number $n ∈ ℕ$, for all large enough odd prime $k$ (depending on $n$), $nk < S(k)$.	(n : ℕ) : ∀ᶠ (k : ℕ) in Filter.atTop, k.Prime → Odd k → n * k < S k
S5-CLM-00003512	Margulis.conjecture_1_1	Let `D` be the diagonal group of `SL_n(ℝ)` where n ≥ 3. Then any relatively compact `D`-orbit in `SL_n(ℝ) / SL_n(ℤ)` is closed.	{n : ℕ} (hn : 3 ≤ n)     (g : SL(n, ℝ) ⧸ Subgroup.map (map (Int.castRingHom ℝ)) ⊤)     (hg : IsCompact <| closure (MulAction.orbit (diagonalSubgroup (Fin n) ℝ) g)) :     IsClosed <| MulAction.orbit (diagonalSubgroup (Fin n) ℝ) g
S5-CLM-00003518	Arxiv.«2605.12342».conjecture_1	**Conjecture 1 (Fernandes, 2026):** Let $m \ge n \ge 2$ be integers with $(m, n) \notin \{(2,2), (3,3), (4,3), (4,4)\}$. Then the group $$ \Gamma_{m \oplus n} = \{(\sigma_1, \sigma_2) \in \mathrm{S}_m \times \mathrm{S}_n :   \mathrm{sgn}(\sigma_1) = \mathrm{sgn}(\sigma_2)\} $$ has rank $2$, i.e., minimal generating set of size $2$.  Note: Fernandes states the conjecture for groups of exact rank $2$, which is why $(2,2)$ is in the exception list: $\Gamma_{2 \oplus 2} \cong C_2$ has rank $1$. The formalised conclusion `∃ g₁ g₂, closure {g₁, g₂} = ⊤` encodes 2-generation (at most $2$ generators), which $\Gamma_{2 \oplus 2}$ also satisfies. The other three exceptions $(3,3), (4,3), (4,4)$ have rank $3$ and are genuinely not 2-generated.	{m n : ℕ} (hm2 : 2 ≤ m) (hn2 : 2 ≤ n) (hmn : n ≤ m)     (h_except : (m, n) ∉ ({(2, 2), (3, 3), (4, 3), (4, 4)} : Set (ℕ × ℕ))) :     ∃ g₁ g₂ : gammaSubgroup m n, Subgroup.closure {g₁, g₂} = ⊤
S5-CLM-00003530	Bugeaud01.problem_10_2	Problem 10.2. To prove that $\lVert e^n \rVert$ does not tend to 0 as n tends to infinity.	:     ¬ Filter.Tendsto (fun n : ℕ ↦ distToNearestInt (Real.exp n)) Filter.atTop (nhds 0)
S5-CLM-00003531	Bugeaud01.problem_10_3	Problem 10.3. To prove that there exists a positive real number~$c$ such that $\lVert e^n \rVert > e^{−cn}$, for every~$n \ge 1$. Posed by Mahler [Mah53].	:     ∃ c : ℝ, 0 < c ∧ ∀ n : ℕ, 1 ≤ n → Real.exp (-c * n) < distToNearestInt (Real.exp n)
S5-CLM-00003532	Bugeaud01.waldschmidt	Waldschmidt [Wal03] conjectured that a stronger result holds, namely that there exists a positive real number~$c$ such that $\lVert e^n \rVert > n^{-c}$ for every~$n \ge 2$. This is supported by metrical results [Kok45].  Note: the bound $n^{-c}$ equals $1$ when $n = 1$ for all $c$, while the distance to the nearest integer is always at most $1/2$, so the conjecture must start at $n \ge 2$.	:     ∃ c : ℝ, 0 < c ∧ ∀ n : ℕ, 2 ≤ n → (n : ℝ) ^ (-c) < distToNearestInt (Real.exp n)
S5-CLM-00003533	Bugeaud05.problem_10_5	Problem 10.5 (first part). Let $\mathbb{K}$ be a real number field. Then, for any $\varepsilon > 0$, there exists a lacunary sequence $(t_n)_{n \ge 1}$ of positive numbers in $\mathbb{K}$ such that $$\limsup_{n \to \infty} \{\xi t_n\} \ge 1 - \varepsilon,$$ for any real number $\xi$ not in $\mathbb{K}$.	(K : IntermediateField ℚ ℝ) [FiniteDimensional ℚ K]     {ε : ℝ} (hε : 0 < ε) :     ∃ t : ℕ → K, (∀ n, 0 < (t n : ℝ)) ∧       IsLacunaryReal (fun k => (t k : ℝ)) ∧       ∀ ξ : ℝ, ξ ∉ K →         (1 - ε) ≤ limsup (fun n => Int.fract (ξ * (t n : ℝ))) atTop
S5-CLM-00003534	Bugeaud05.problem_10_5_moreover	Problem 10.5 ("moreover" clause). With the same hypotheses as `problem_10_5`, the sequence $(t_n)$ can be chosen so that, for any real $\xi$ not in $\mathbb{K}$, each subinterval of $[0, 1]$ of length $\varepsilon$ contains a limit point of the sequence $(\{\xi t_n\})_{n \ge 1}$. This is strictly stronger than `problem_10_5`: the limsup bound is the special case at the subinterval $[1 - \varepsilon, 1]$.	(K : IntermediateField ℚ ℝ) [FiniteDimensional ℚ K]     {ε : ℝ} (hε : 0 < ε) :     ∃ t : ℕ → K, (∀ n, 0 < (t n : ℝ)) ∧       IsLacunaryReal (fun k => (t k : ℝ)) ∧       ∀ ξ : ℝ, ξ ∉ K → ∀ a, a ∈ Set.Icc (0 : ℝ) (1 - ε) →         ∃ y ∈ Set.Icc a (a + ε),           MapClusterPt y atTop (fun n => Int.fract (ξ * (t n : ℝ)))
S5-CLM-00003538	Bugeaud06.problem_10_6_variant_1	Problem 10.6. Find a very rapidly increasing sequence $(m_n)_{n \ge 1}$ of positive integers such that $(\{\xi m_n\})_{n \ge 1}$ is dense modulo one for every irrational number $\xi$. Note: Furstenberg's $2^m3^n$ is sublacunary but requires two parameters.	:     ∃ m : ℕ → ℕ,     StrictMono m ∧     IsGenuinelySublacunary m ∧     ∀ ξ : ℝ, Irrational ξ →       Dense (Set.range fun n => (↑(ξ * m n) : AddCircle (1 : ℝ)))
S5-CLM-00003539	Bugeaud06.problem_10_6_variant_2	Problem 10.6, intermediate-growth variant.	:     ∃ m : ℕ → ℕ,     StrictMono m ∧     (∃ α : ℝ, 0 < α ∧ α < 1 ∧ HasIntermediateGrowth α m) ∧     ∀ ξ : ℝ, Irrational ξ →       Dense (Set.range fun n => (↑(ξ * m n) : AddCircle (1 : ℝ)))
S5-CLM-00003541	Bugeaud08.problem_10_8	Problem 10.8 ($p$-adic Littlewood conjecture). For every real number $\xi$ and every prime number $p$, $$\inf_{q \ge 1} q \cdot \lVert q \xi \rVert \cdot |q|_p = 0,$$ where $\lVert \cdot \rVert$ denotes the distance to the nearest integer and $|\cdot|_p$ denotes the $p$-adic absolute value. Posed by de Mathan and Teulié [dMT04].	(ξ : ℝ) (p : ℕ) (hp : p.Prime) :     sInf {x : ℝ | ∃ q : ℕ, 1 ≤ q ∧       x = q * padicNorm p q * distToNearestInt (q * ξ)} = 0
S5-CLM-00003546	Equidistribution.isEquidistributedModuloOne_three_halves_pow	The sequence `(3/2)^n` is equidistributed modulo `1`.	:     IsEquidistributedModuloOne (fun n => (3 / 2 : ℝ)^n)
S5-CLM-00003547	Equidistribution.isEquidistributedModuloOne_transcendental_three_halves_pow	For any transcendental number `x`, the sequence `x * (3 / 2) ^ n` is equidistributed modulo 1.	(x : ℝ)     (hx : Transcendental ℚ x) :     IsEquidistributedModuloOne (fun n ↦ x * (3 / 2 : ℝ) ^ n)
S5-CLM-00003548	Erdos1.erdos_1	If $A\subseteq\{1, ..., N\}$ with $|A| = n$ is such that the subset sums $\sum_{a\in S}a$ are distinct for all $S\subseteq A$ then $$   N \gg 2 ^ n. $$	: ∃ C > (0 : ℝ), ∀ (N : ℕ) (A : Finset ℕ) (_ : IsSumDistinctSet A N),     N ≠ 0 → C * 2 ^ A.card < N
S5-CLM-00003550	Erdos1.erdos_1.variants.real	A generalisation of the problem to sets $A \subseteq (0, N]$ of real numbers, such that the subset sums all differ by at least $1$ is proposed in [Er73] and [ErGr80].  [Er73] Erdős, P., _Problems and results on combinatorial number theory_. A survey of combinatorial theory (Proc. Internat. Sympos., Colorado State Univ., Fort Collins, Colo., 1971) (1973), 117-138.  [ErGr80] Erdős, P. and Graham, R., _Old and new problems and results in combinatorial number theory_. Monographies de L'Enseignement Mathematique (1980).	: ∃ C > (0 : ℝ), ∀ (N : ℕ) (A : Finset ℝ)     (_ : IsSumDistinctRealSet A N), N ≠ 0 → C * 2 ^ A.card < N
S5-CLM-00003552	Erdos10.erdos_10.variants.granville_soundararajan_odd	Granville and Soundararajan [GrSo98] have conjectured that at most $3$ powers of $2$ suffice for all odd integers, and hence at most $4$ powers of $2$ suffice for all even integers.  Ref: Granville, A. and Soundararajan, K., _A Binary Additive Problem of Erdős and the Order of $2$ mod $p^2$_	:     {n : ℕ | Odd n ∧ 1 < n} ⊆ sumPrimeAndTwoPows 3 ∧       {n : ℕ | Even n ∧ n ≠ 0} ⊆ sumPrimeAndTwoPows 4
S5-CLM-00003553	Erdos10.erdos_10.variants.grechuk	Bogdan Grechuk has observed that $1117175146$ is not the sum of a prime and at most $3$ powers of $2$, and pointed out that parity considerations, coupled with the fact that there are many integers not the sum of a prime and $2$ powers of $2$ suggest that there exist infinitely many even integers which are not the sum of a prime and at most $3$ powers of $2$).	:     Set.Infinite <| {n : ℕ | Even n} \ sumPrimeAndTwoPows 3
S5-CLM-00003557	Erdos100.erdos_100.variants.strong	Stronger conjecture: diameter $\geq n - 1$ for sufficiently large $n$.	:     ∀ᶠ n in atTop, ∀ A : Finset ℝ²,       A.card = n →       DistancesSeparated A →       diam (A : Set ℝ²) ≥ n - 1
S5-CLM-00003566	Erdos101.erdos_101	Given $n$ points in $\mathbb{R}^2$, no five of which are on a line, the number of lines containing four points is $o(n^2)$.	: (fun n => (numLinesWithFourPointMax n : ℝ)) =o[atTop] (fun n => (n : ℝ)^2)
S5-CLM-00003592	Erdos1041.erdos_1041	Let $$ f(z) = \prod_{i=1}^{n} (z - z_i) \in \mathbb{C}[x] $$ with $|z_i| < 1$ for all $i$.  Conjecture: Must there always exist a path of length less than 2 in $$ \{ z \in \mathbb{C} \mid |f(z)| < 1 \} $$ which connects two of the roots of $f$?	:     ∃ (z₁ z₂ : ℂ) (h : ({z₁, z₂} : Multiset ℂ) ≤ f.roots) (γ : Path z₁ z₂),       Set.range γ ⊆ { z : ℂ | ‖f.eval z‖ < 1 } ∧ length (Set.range γ) < 2
S5-CLM-00003597	Erdos1044.erdos_1044.variants.fixed_degree	Tang also suggests that, if the degree $n$ is fixed, then the infimum over all such $f$ of degree $n$ is attained by $f_n(z)=z^n-1$.	(n : ℕ) (hn : 0 < n) :     IsLeast {L : ℝ≥0∞ | ∃ f : ℂ[X], IsAdmissible f ∧ f.natDegree = n ∧ maxBoundaryLength f = L}       (maxBoundaryLength (X ^ n - 1))
S5-CLM-00003621	Erdos1055.erdos_1055	A prime $p$ is in class $1$ if the only prime divisors of $p+1$ are $2$ or $3$. In general, a prime $p$ is in class $r$ if every prime factor of $p+1$ is in some class $\leq r-1$, with equality for at least one prime factor. Are there infinitely many primes in each class?	(r) : {p | p.Prime ∧ IsOfClass r p}.Infinite
S5-CLM-00003622	Erdos1055.erdos_1055.variants.erdos_limit	A prime $p$ is in class $1$ if the only prime divisors of $p+1$ are $2$ or $3$. In general, a prime $p$ is in class $r$ if every prime factor of $p+1$ is in some class $\leq r-1$, with equality for at least one prime factor. If $p_r$ is the least prime in class $r$, then how does $p_r^{1/r}$ behave? Erdos conjectured that this tends to infinity.	:     Filter.atTop.Tendsto (fun r ↦ (p r : ℝ) ^ (1 / r : ℝ)) Filter.atTop
S5-CLM-00003623	Erdos1055.erdos_1055.variants.selfridge_limit	A prime $p$ is in class $1$ if the only prime divisors of $p+1$ are $2$ or $3$. In general, a prime $p$ is in class $r$ if every prime factor of $p+1$ is in some class $\leq r-1$, with equality for at least one prime factor. If $p_r$ is the least prime in class $r$, then how does $p_r^{1/r}$ behave? Selfridge conjectured that this is bounded.	:     ∃ M, ∀ r, (p r : ℝ) ^ (1 / r : ℝ) ≤ M
S5-CLM-00003630	Erdos1060.erdos_1060.parts.i	The conjecture is about the function $f(n)$ which counts the number of solutions to $k\sigma(k)=n$, where $\sigma(k)$ is the sum of divisors of $k$. The first bound is that $f(n)$ grows slower than any power of $n^(\frac{1}{\log\log n})$. The second bound is that $f(n)$ is at most a power of $\log n$.	:     ∃ h : ℕ → ℝ,       h =o[atTop] (fun n ↦ 1 / log (log n)) ∧ ∀ᶠ n in atTop, #{k ≤ n | k * σ 1 k = n} ≤ (n : ℝ) ^ h n
S5-CLM-00003631	Erdos1060.erdos_1060.parts.ii	Part (ii) of Erdős Problem 1060: bound on the number of $k \le n$ with $k \sigma_1(k) = n$.	:     ∃ (C : ℝ), (fun n ↦ (#{k ≤ n | k * σ 1 k = n} : ℝ)) =O[atTop]       (fun n ↦ log n ^ C)
S5-CLM-00003648	Erdos1072.erdos_1072.variants.littleo	Erdős, Hardy, and Subbarao [HaSu02], believed that the number of $p \le x$ for which $f(p)=p−1$ is $o(x/\log x)$.  [HaSu02] Hardy, G. E. and Subbarao, M. V., _A modified problem of Pillai and some related questions._ Amer. Math. Monthly (2002), 554--559.	:     (fun x ↦ (({p | p.Prime ∧ f p = p - 1} ∩ Icc 0 x).ncard : ℝ)) =o[atTop]       (fun x ↦ x / Real.log x)
S5-CLM-00003652	Erdos1074.erdos_1074.variants.EHSNumbers_one_half	Regarding the first question, Hardy and Subbarao computed all EHS numbers up to $2^{10}$, and write "...if this trend conditions we expect [the limit] to be around 0.5, if it exists."	: EHSNumbers.HasDensity (1 / 2)
S5-CLM-00003658	Erdos1084.erdos_1084.variants.triangular_optimal_d2	Erdős conjectured that the triangular lattice is best possible in 2D, in particular that $f_2(3n^2 + 3n + 1) < 9n^2 + 3n$.  Note: in [Er75f] is read $9n^2 + 6n$, but this seems to be a typo.	: f 2 (3 * n ^ 2 + 3 * n + 1) = 9 * n ^ 2 + 3 * n
S5-CLM-00003673	Erdos1093.erdos_1093.parts.ii	Are there only finitely many binomial coefficients with deficiency > 1?	:     {x : ℕ × ℕ | let k := x.1; let n := x.2; 2 * k ≤ n ∧ deficiency n k > 1 ∧       ∀ p, p.Prime → (p ∣ choose n k) → k < p}.Finite
S5-CLM-00003674	Erdos1094.erdos_1094	For all $n\ge 2k$ the least prime factor of $\binom{n}{k}$ is $\le\max(n/k,k)$, with only finitely many exceptions.	:     {(n, k) : ℕ × ℕ | 0 < k ∧ 2 * k ≤ n ∧ (n.choose k).minFac > max (n / k) k}.Finite
S5-CLM-00003675	Erdos1095.erdos_1095.variants.log_equivalent	Sorenson, Sorenson, and Webster [SSWE20] give heuristic evidence that $\log g(k) \asymp \frac{k}{\log k}$.	: (fun k ↦ log (g k)) ~[atTop] (fun k ↦ k / log k)
S5-CLM-00003676	Erdos1095.erdos_1095.variants.lower_conjecture	Erdős, Lacampagne, and Selfridge [ELS93] write 'it is clear to every right-thinking person' that $g(k)\geq\exp(c\frac{k}{\log k})$ for some constant $c>0$.	: ∃ c > 0, ∀ᶠ k in atTop, g k ≥ exp (c * k / log k)
S5-CLM-00003678	Erdos1095.erdos_1095.variants.upper_conjecture	Ecklund, Erdős, and Selfridge [EES74] conjectured $g(k)\leq \exp((1+o(1))k)$.	:     ∃ f : ℕ → ℝ, Tendsto f atTop (𝓝 0) ∧ ∀ᶠ k in atTop, g k ≤ exp (k * (1 + f k))
S5-CLM-00003682	Erdos11.erdos_11	Is every odd $n > 1$ the sum of a squarefree number and a power of 2?	(n : ℕ) (hn : Odd n) (hn' : 1 < n) :     ∃ k l : ℕ, Squarefree k ∧ n = k + 2 ^ l
S5-CLM-00003684	Erdos11.erdos_11.variants.not_four_dvd	Erdős often asked this under the weaker assumption that $n > 1$ is not divisible by 4.	(n : ℕ) (hn : ¬ 4 ∣ n) (hn' : 1 < n) :     ∃ k l : ℕ , Squarefree k ∧ n = k + 2^l
S5-CLM-00003685	Erdos11.erdos_11.variants.two_pow_two	Is every odd $n > 1$ the sum of a squarefree number and two powers of 2?	(n : ℕ) (hn : Odd n) (hn' : 1 < n) :     ∃ k l m : ℕ , Squarefree k ∧ n = k + 2^l + 2^m
S5-CLM-00003686	Erdos1101.erdos_1101.parts.i	1. There is NO good sequence with polynomial growth.	:     ¬ ∃ u, IsGood u ∧ ∃ k : ℕ, (fun n => (u n : ℝ)) =O[atTop] (fun n => (n : ℝ) ^ k)
S5-CLM-00003687	Erdos1101.erdos_1101.parts.ii	2. There is a good sequence with sub-exponential growth.	:     ∃ u, IsGood u ∧ (fun n => Real.log (u n : ℝ)) =o[atTop] (fun n => (n : ℝ))
S5-CLM-00003693	Erdos1107.erdos_1107	Let $r \ge 2$. Is every large integer the sum of at most $r + 1$ many $r$-powerful numbers?	: ∀ r ≥ 2, ∀ᶠ n in atTop, SumOfRPowerful r n
S5-CLM-00003704	Erdos1113.erdos_1113.variants.filaseta_finch_kozek	**Filaseta–Finch–Kozek conjecture (2008).** Every Sierpiński number is either a perfect power or possesses a finite covering set of primes.	:     ∀ k, k.IsSierpinskiNumber →       k.IsPerfectPower ∨ HasFinitePrimeCoveringSet k
S5-CLM-00003727	Erdos1167.erdos_1167.variants.binary_colors	**Binary-color case.** The $\gamma = 2$ specialization (two color classes).	(r : ℕ) (hr : 2 ≤ r) (lam : Cardinal.{u}) (hlam : ℵ₀ ≤ lam)     (κ : (2 : Ordinal.{u}).ToType → Cardinal.{u}) :     cardinalPartitionRel ((2 : Cardinal.{u}) ^ lam) (r + 1) 2 (fun α => κ α + 1) →     cardinalPartitionRel lam r 2 κ
S5-CLM-00003728	Erdos1167.erdos_1167.variants.finite_targets	**Finite-target case.** When all $\kappa_\alpha$ are finite, $\kappa_\alpha + 1$ is the ordinary natural-number successor. Special case of `erdos_1167`.	(r : ℕ) (hr : 2 ≤ r) (lam : Cardinal.{u}) (hlam : ℵ₀ ≤ lam)     (γ : Ordinal.{u}) (hγ : 2 ≤ γ) (n : γ.ToType → ℕ) :     cardinalPartitionRel ((2 : Cardinal.{u}) ^ lam) (r + 1) γ         (fun α => (n α : Cardinal.{u}) + 1) →     cardinalPartitionRel lam r γ (fun α => (n α : Cardinal.{u}))
S5-CLM-00003729	Erdos1167.erdos_1167.variants.infinite_targets	**Infinite-target case.** When all $\kappa_\alpha \geq \aleph_0$ are infinite and bounded by $\lambda$, $\kappa_\alpha + 1 = \kappa_\alpha$, so the hypothesis simplifies to a "pure" stepping-down lemma: $$2^\lambda \to (\kappa_\alpha)_{\alpha<\gamma}^{r+1} \implies    \lambda \to (\kappa_\alpha)_{\alpha<\gamma}^r.$$ The condition $\kappa_\alpha \leq \lambda$ is needed to avoid a size obstruction: without it, the conclusion would require a subset of $\lambda$ of size $\kappa_\alpha > \lambda$, which is impossible (see `infinite_targets_needs_bound`).	(r : ℕ) (hr : 2 ≤ r) (lam : Cardinal.{u}) (hlam : ℵ₀ ≤ lam)     (γ : Ordinal.{u}) (hγ : 2 ≤ γ) (κ : γ.ToType → Cardinal.{u}) (hκ : ∀ i, ℵ₀ ≤ κ i)     (hκ_le : ∀ i, κ i ≤ lam) :     cardinalPartitionRel ((2 : Cardinal.{u}) ^ lam) (r + 1) γ κ →     cardinalPartitionRel lam r γ κ
S5-CLM-00003730	Erdos1167.erdos_1167.variants.r_eq_two	**$r = 2$ case.** The stepping-down from 3-uniform to 2-uniform partition relations: $2^\lambda \to (\kappa_\alpha + 1)_{\alpha<\gamma}^3$ implies $\lambda \to (\kappa_\alpha)_{\alpha<\gamma}^2$. Generalises the classical Erdős–Rado stepping-up/down theorem for pairs.	(lam : Cardinal.{u}) (hlam : ℵ₀ ≤ lam)     (γ : Ordinal.{u}) (hγ : 2 ≤ γ) (κ : γ.ToType → Cardinal.{u}) :     cardinalPartitionRel ((2 : Cardinal.{u}) ^ lam) 3 γ (fun α => κ α + 1) →     cardinalPartitionRel lam 2 γ κ
S5-CLM-00003768	Erdos126.erdos_126.variants.isLittleO	Erdős says that $f(n) = o(\frac{n}{\log n})$ has never been proved.	(f : ℕ → ℕ)     (hf : IsMaximalAddFactorsCard f) :     (fun (n : ℕ) => (f n : ℝ)) =o[atTop] (fun (n : ℕ) => n / Real.log n)
S5-CLM-00003772	Erdos137.erdos_137.variants.multiple_powerful_factors	Erdős [Er82c] conjectures that, if $k$ is fixed, then for all $n$ sufficiently large and all positive integers $m$, there must be at least $k$ distinct primes $p$ such that $p\mid m(m+1)\cdots (m+n)$ and yet $p^2$ does not divide the right hand side.  [Er82c] Erdős, Paul, "Miscellaneous problems in number theory". Congr. Numer. (1982), 25-45.,	(k : ℕ) : ∀ᶠ n in Filter.atTop,     ∀ (m : ℕ) (hm : 0 < m),     letI N := ∏ x ∈ Finset.Ioc m (m + n), x     ∃ P : Finset ℕ, P.card = k ∧ ∀ p ∈ P, p.Prime ∧     p ∣ N ∧ ¬ p ^ 2 ∣ N
S5-CLM-00003785	Erdos142.erdos_142.variants.lower	Show that $r_k(N) = o_k(N / \log N)$, where $r_k(N)$ the largest possible size of a subset of $\{1, \dots, N\}$ that does not contain any non-trivial $k$-term arithmetic progression.	(k : ℕ) (hk : 1 < k) :     (fun N => (r k N : ℝ)) =o[atTop] (fun N : ℕ => N / (N : ℝ).log)
S5-CLM-00003787	Erdos143.erdos_143.parts.ii	Or $$ \sum_{x \in A} \frac{1}{x \log x} < \infty, $$	(A : Set ℝ) (h : WellSeparatedSet A) :     Summable fun (x : A) ↦ 1 / (x * Real.log x)
S5-CLM-00003816	Erdos184.erdos_184	Any graph on $n$ vertices can be decomposed into $O(n)$ many edge-disjoint cycles and edges.	:     ∃ f : ℕ → ℝ,       (f =O[atTop] fun n : ℕ ↦ (n : ℝ)) ∧       ∀ {V : Type*} [Fintype V] [DecidableEq V] (G : SimpleGraph V),       ∃ (D : Finset G.Subgraph),         (∀ H ∈ D, IsCycleOrEdge H.coe) ∧         IsDecomposition G D ∧         (D.card : ℝ) ≤ f (Fintype.card V)
S5-CLM-00003823	Erdos189.erdos_189.variants.parallelogram	Seems to be open, as of January 2025.	:     ¬ Erdos189For       (fun a b c d ↦         line[ℝ, a, b] ∥ line[ℝ, c, d] ∧         line[ℝ, a, d] ∥ line[ℝ, b, c])       (fun a b c d ↦ dist a b * dist b c * (∡ a b c).sin)
S5-CLM-00003844	Erdos208.erdos_208.variants.log_bound	In [Er79] Erdős says perhaps $s_{n+1} - s_n \ll \log s_n$, but he is 'very doubtful'.  [Er79] Erdős, Paul, __Some unconventional problems in number theory__. Math. Mag. (1979), 67-70.	:     (fun n ↦ (s (n + 1) - s n : ℝ)) =O[atTop] fun n ↦ log (s n)
S5-CLM-00003855	Erdos218.erdos_218.variants.ge	The set of indices $n$ for which a prime gap is preceded by a larger or equal prime gap has a natural density of $\frac 1 2$.	: {n | primeGap (n + 1) ≤ primeGap n}.HasDensity <| 1 / 2
S5-CLM-00003856	Erdos218.erdos_218.variants.infinite_equal_prime_gap	There are infinitely many indices $n$ such that the prime gap at $n$ is equal to the prime gap at $n+1$. This is equivalent to the existence of infinitely many arithmetic progressions of length $3$, see `erdos_141.variants.infinite_three`.	: {n | primeGap n = primeGap (n + 1)}.Infinite
S5-CLM-00003857	Erdos218.erdos_218.variants.le	The set of indices $n$ for which a prime gap is followed by a larger or equal prime gap has a natural density of $\frac 1 2$.	: {n | primeGap n ≤ primeGap (n + 1)}.HasDensity <| 1 / 2
S5-CLM-00003868	Erdos233.erdos_233	A conjecture by Heath-Brown: The sum of squares of the first $N$ gaps between consecutive primes behaves like $N * (log N)^2$.	:     (fun N => ((∑ n ∈ Finset.range N, (primeGap n) ^ 2) : ℝ)) =O[atTop] fun N => N * (log N)^2
