high	A000001	bcd76aa4	The number of groups satisfies a(i)a(j)<=a(ij) for all nonnegative i,j.	I conjecture that a(i) * a(j) <= a(i*j) for all nonnegative integers i and j.
high	A006560	d9a9a92c	There are arbitrarily long arithmetic progressions consisting of consecutive primes.	It is conjectured that there are arithmetic progressions of n consecutive primes for any n.
high	A006577	2a6698fe	Every positive integer reaches 1 under iteration of the Collatz map.	It is conjectured that the answer is yes.
high	A014085	8a8ac3fb	The least threshold K such that every interval from n^k to (n+1)^k contains a prime for all k>K is log(127)/log(16).	Legendre's conjecture can be generalized as follows: for all integers n > 0 and all real numbers k > K, there is a prime in the range n^k to (n+1)^k. The constant K is conjectured to be log(127)/log(16). See A143935. - _T. D. Noe_, Sep 05 2008
high	A014092	689454d4	Every even integer greater than 2 is the sum of two primes.	every even number larger than 2 is the sum of 2 primes.
high	A016777	9c59b9c9	Every n-element positive-integer set with property P has maximum at least 3n-2.	Erdős & Sárközy conjecture that a set of n positive integers with property P must have some element at least a(n-1) = 3n - 2. Property P states that, for x, y, and z in the set and z < x, y, z does not divide x+y.
high	A022008	49ac8a28	There are infinitely many prime sextuples of the form p, p+4, p+6, p+10, p+12, p+16.	It is conjectured that there are infinitely many such sextuples.
high	A023108	1f7f4f61	196 is the least decimal reverse-and-add starting value whose trajectory never reaches a palindrome.	196 is conjectured to be smallest initial term which does not lead to a palindrome.
high	A023193	e401d286	A023193(n) equals the largest number of primes occurring in infinitely many intervals of n consecutive integers.	Conjecturally, a(n) is the largest number of primes that occurs on an infinite number of intervals of n consecutive integers.
high	A036262	80d9d9b0	Every noninitial row of the iterated absolute-difference array of the primes begins with 1.	The conjecture is that the leading term is always 1.
high	A040051	e1b88c8d	The partition numbers p(n) are asymptotically equally often even and odd.	It is conjectured (T. R. Parkin and D. Shanks) that p(n) is equally often even and odd.
high	A045917	8bb3fcdb	The Halberstam-Richert upper bound for Goldbach representation counts holds with leading factor 2 instead of 8.	It is conjectured that the factor 8 can be replaced by 2.
high	A046094	522df3f2	For n>1, -n*Bernoulli(n-1) is congruent to 1 modulo n if and only if n is prime.	Agoh's congruence; a(n) is conjectured to be 1 iff n is prime.
high	A046747	12b3954c	The singularity probability of a uniform n-by-n binary matrix is asymptotic to binomial(n+1,2) times 2^(1-n).	The probability that a random n X n {0,1}-matrix is singular is conjectured to be asymptotic to C(n+1, 2)*(1/2)^(n-1).
high	A050412	5ddb0981	509203 is the smallest Riesel number.	It is conjectured that n = 509203 is the smallest Riesel number, i.e., n*2^k - 1 is composite for every k>0. - _Robert G. Wilson v_, Mar 01 2015. [This would imply that a(509203) is the first zero term in this sequence. - _N. J. A. Sloane_, Jul 31 2024]
high	A055030	7f5a30f9	The stated power-sum quotient is integral exactly when n is 1 or prime.	It is conjectured that (Sum(m^(n-1),m=1..n-1)+1)/n is an integer iff n is 1 or a prime.
high	A057655	63f5a56a	A057655(n)-Pi*n = O(n^(1/4+epsilon)) for every epsilon>0.	It is conjectured that a(n) - Pi*n = O(n^(1/4 + epsilon)) for all epsilon > 0.
high	A059850	11d91167	Pi^e is transcendental.	Pi^e is conjectured to be transcendental.
high	A060843	bca836a5	The five-state Busy Beaver value recorded by A060843 is 47176870.	It is conjectured that a(5) = 47176870 (Conjecture 10 of the Scott Aaronson link "The busy beaver frontier"). - _Jianing Song_, Feb 21 2024
high	A060941	5e0c93e0	A broad family of diagonal coefficients of powers of the Duchon-number generating function is conjectured to obey p^(3*k) supercongruences.	More generally, let r  be an integer and s a positive integer and define a sequence u(n) by u(n) = [x^(s*n)] A(x)^(r*n). Then we conjecture that the supercongruences u(n*p^k) == u(n*p^(k-1)) (mod p^(3*k)) hold for all primes p >= 7 and positive integers n and k.
high	A061232	548c7629	For n>2, the counts of primes in consecutive factorial intervals have ratio between n+1/2 and n+2/3.	I conjecture that for n>2 we have n + 1/2 <= a(n)/a(n-1) <= n + 2/3.
high	A062964	e52e9aaa	The hexadecimal digits of Pi after the first equal floor(16*frac(x(n))) for the stated rational recurrence x(n).	Bailey and Crandall conjecture that the terms of this sequence, apart from the first, are given by the formula floor(16*(x(n) - floor(x(n)))), where x(n) is determined by the recurrence equation x(n) = 16*x(n-1) + (120*n^2 - 89*n + 16)/(512*n^4 - 1024*n^3 + 712*n^2 - 206*n + 21) with the initial condition x(0) = 0 (see A374334).
high	A064237	99fd7628	The sequence A007540 is infinite.	That sequence is conjectured to be infinite.
high	A076336	3fa117c9	The Sierpinski-number set S1 equals the dual set S2 of odd n for which 2^k+n is composite for every k.	S2: Odd numbers n such that 2^k + n is composite for all k (apparently it is conjectured that S1 and S2 are the same sequence)
high	A076336	be2b8136	78557 is the smallest Sierpiński number.	It is conjectured that 78557 is the smallest Sierpiński number. - _T. D. Noe_, Oct 31 2003
high	A076336	e41222f4	The listed provable Sierpiński numbers include every such number up to 3000000.	It is only a conjecture that this sequence is complete up to 3000000 - there may be missing terms.
high	A078611	d1081580	Every prime greater than 3 is the average of two distinct primes.	I conjecture that a(n) is defined for all n > 2. Equivalently, every prime > 3 is the average of two distinct primes.
high	A087788	bd89b34a	The counting function for Carmichael numbers with exactly three prime factors is asymptotic to c x^(1/3)/(log x)^3.	Granville & Pomerance conjecture that there are ~ c x^(1/3)/(log x)^3 terms of this sequence up to x.
high	A088568	371fb299	The limiting densities of 1 and 2 in the Kolakoski sequence both equal 1/2.	It is conjectured that the density of 1's and that of 2's in the Kolakoski sequence A000002 are equal to 1/2. The deficit of 2's in the Kolakoski sequence at rank n being defined as n/2 - number of 2's in the Kolakoski word of length n, a(n) is equal to twice the deficit of 2's (or twice the excess of 1's). Equivalently, the number of 2's up to rank n in the Kolakoski sequence is (n - a(n))/2. - _Jean-Christophe Hervé_, Oct 05 2014
high	A106564	31b518a7	Every even integer is a difference of two primes.	It is conjectured (see A020483) that every even number is a difference of primes, and this is known to be true for even numbers < 10^11.  If so,this sequence consists of the odd squares n such that n+2 is composite. - _Robert Israel_, Feb 28 2016
high	A112824	a40dd22c	Every even integer 2n is a sum of primes p+p' with p<=p'.	Consider the Goldbach conjecture that every even number 2n=p+p' with p<=p'.
high	A143824	a45705a7	The maximum size of a Sidon subset of {1,...,n} exceeds sqrt(n) by less than n^e asymptotically for every e>0.	It is conjectured by Erdos (for $500) that a(n) < n^(1/2) + o(n^e) for all e>0.
high	A143898	b61ae58f	A143898: This value of K is conjectured to be the least possible such that there is at least one prime in the range n^K to (n+1)^K for n > 0.	This value of K is conjectured to be the least possible such that there is at least one prime in the range n^K to (n+1)^K for n > 0.
high	A143935	a55b185b	A143935: This value of K is conjectured to be the least possible such that there is at least one prime in the range n^k and (n+1)^k for all n>0 and k>=K.	This value of K is conjectured to be the least possible such that there is at least one prime in the range n^k and (n+1)^k for all n>0 and k>=K.
high	A154404	3ad9e666	Every integer n at least 5 is representable as an odd prime plus a positive Fibonacci number plus a Catalan number.	Qing-Hu Hou (Nankai Univ.) and Jiang Zeng (Univ. of Lyon-I) conjectured on Jan 09 2009 that a(n)>0 for every n=5,6,....
high	A161942	89c1da9d	Every orbit under the A161942 function eventually reaches 1.	It is conjectured that iteration of this function will always reach 1. This implies the nonexistence of odd perfect numbers. This is equivalent to the same question for A000593, which can be expressed as the sum of the divisors of the odd part of n.
high	A191100	a462379c	For A+B=C, the stated radical-power ratio has a positive minimum for every exponent n>1, in the source's equivalent ABC formulation.	the unsolved ABC conjecture (i.e., Oesterle-Masser conjecture) is equivalent to the statement that [SQP(ABC)]^n/C has a minimum value if n>1
high	A205510	cd74f31e	A205510: As in Twin Primes Conjecture, we conjecture that there exist infinitely many Hamming's twin pairs.	As in Twin Primes Conjecture, we conjecture that there exist infinitely many Hamming's twin pairs.
high	A213891	6ca71d91	A213891: This sequence consists of prime numbers (conjecture). We conjecture that this sequence of prime numbers is analogous to A000057, in the sense that, instead of referring to the Fibonacci sequences it refers to the generalized Fibonacci sequences satisfying f(n)=2*f(n-1)+f(n-2). This would mean that a prime is in this sequence here if and only if it divides some term in each of the sequences satisfying f(n)=2*f(n-1)+f(n-2).	This sequence consists of prime numbers (conjecture). We conjecture that this sequence of prime numbers is analogous to A000057, in the sense that, instead of referring to the Fibonacci sequences it refers to the generalized Fibonacci sequences satisfying f(n)=2*f(n-1)+f(n-2). This would mean that a prime is in this sequence here if and only if it divides some term in each of the sequences satisfying f(n)=2*f(n-1)+f(n-2).
high	A213899	201bafa8	A213899: This would mean that a prime is in the sequence A213899 if and only if it divides some term in each of the sequences satisfying f(n) = 10*f(n-1) + f(n-2).	This would mean that a prime is in the sequence A213899 if and only if it divides some term in each of the sequences satisfying f(n) = 10*f(n-1) + f(n-2).
high	A221671	f583633d	A221671(n)=A193832(n) for every n other than 5.	I conjecture that this formula holds for all n != 5.
high	A229452	30c8a927	All coefficient sequences [x^(r*n)]A(x)^(s*n) in the stated family are conjectured to satisfy the displayed p^(3*k) supercongruences.	more generally, for r a positive integer and s an integer we conjecture that the sequence {b(r,s;n) : n >= 1} defined by b(r,s; n) = [x^(r*n)] A(x)^(s*n) satisfies the same supercongruences
high	A234285	6583dd93	For every odd integer s, infinitely many primes have the form 2^k-s.	I conjecture that: For each odd number s, there exists infinitely many primes p of the form 2^k - s.
high	A237284	396fe9c1	Every 2n with n greater than 2 has a prime decomposition p+q with pi(p) prime, with exactly the listed n having a unique ordered decomposition.	Conjecture: a(n) > 0 for all n > 2, and a(n) = 1 only for n = 3, 6, 13, 16, 19, 28, 34, 40, 61, 166, 278.
high	A242758	d2bc7776	For every n, max(A242719(n),A242720(n)) is at most prime(n)^4.	It is easy to prove that min(A242719(n), A242720(n)) >= prime(n)^2+1, while we conjecture that max(A242719(n), A242720(n)) <= prime(n)^4. Thus this conjecture implies there are infinitely many twin primes. - _Vladimir Shevelev_, Jun 01 2014
high	A246778	812f97de	The sequence of nth roots of the nth prime is strictly decreasing.	prime(n)^(1/n) is a strictly decreasing function of n
high	A256750	0c9de3ee	A256750: Under iterations of the arithmetic derivative, the orbit of some numbers ends in zero, and the orbit of all others (I conjecture) reaches a number of the form m*p^p with prime p, from where on it keeps this form and grows to infinity iff m>1, or remains at this fixed point if m=1.	Under iterations of the arithmetic derivative, the orbit of some numbers ends in zero, and the orbit of all others (I conjecture) reaches a number of the form m*p^p with prime p, from where on it keeps this form and grows to infinity iff m>1, or remains at this fixed point if m=1.
high	A271099	6b428265	A271099: Concerning part (iii) for k = 6, we conjecture that any natural number can be written as x(1)^6+x(2)^6+x(3)^6+x(4)^6+x(5)^6+3*x(6)^6+5*x(7)^6+6*x(8)^6+10*x(9)^6+18*x(10)^6+26*x(11)^6 with x(1),x(2),...,x(11) nonnegative integers.	Concerning part (iii) for k = 6, we conjecture that any natural number can be written as x(1)^6+x(2)^6+x(3)^6+x(4)^6+x(5)^6+3*x(6)^6+5*x(7)^6+6*x(8)^6+10*x(9)^6+18*x(10)^6+26*x(11)^6 with x(1),x(2),...,x(11) nonnegative integers.
high	A274122	a97802c7	Prime gaps 2 and 4 each occur infinitely often.	each occur infinitely often
high	A305313	0d34da0e	Each Markoff number occurs as the largest entry of a unique ordered Markoff triple.	Smallest member m_1(n) of the ordered Markoff triple MT(n) with largest member m(n) = A002559(n), n >= 1. These triples are conjectured to be unique.
high	A333592	8ad4bf3b	A333592 is conjectured to satisfy the central-binomial-style supercongruences a(n*p^k) == a(n*p^(k-1)) modulo p^(3*k).	We conjecture that the present sequence also satisfies these congruences.
high	A376458	7fec71d8	A376458: We conjecture that the present sequence satisfies same supercongruences and in addition satisfies the stronger congruences a(p) == a(1) (mod p^5) for all primes p >= 7 (checked up to p = 199) and a(p^r) == a(p^(r-1)) (mod p^(3*r+3)) for all primes p >= 5 and integers r >= 2.	We conjecture that the present sequence satisfies same supercongruences and in addition satisfies the stronger congruences a(p) == a(1) (mod p^5) for all primes p >= 7 (checked up to p = 199) and a(p^r) == a(p^(r-1)) (mod p^(3*r+3)) for all primes p >= 5 and integers r >= 2.
low	A002966	9eed9eaf	The second row of the Egyptian-fraction table T in A002966 is A003167.	the 2nd row is A003167.
low	A004737	3402de4b	The Chebyshev-spectrum matrices E_N and M_N have the stated integrality, symmetry, and sparse-entry pattern.	Let U_1(t)=1, U_2(t)=2*t, and U_r(t)=2*t*U_(r-1)(t)-U(r-2)(t), r>2, be Chebyshev polynomials of the second kind. For q>1 an integer, let N=2*q and x_k=cos((2*k-1)*Pi/N), and define the ordered column vectors V_k=[U_k(x_1), U_k(x_2), ..., U_k(x_q)]^T, k=1,...,q, where A^T denotes the transpose of matrix A. Let E_N=[V_1, V_2, ..., V_q] be the q X q matrix formed from the ordered components of the V_k. E_N contains the joint spectra of the Danzer basis (see [Jeffery]) associated with N. Let M_N=(1/q)*[E_N]^T*E_N. For the trivial case q=1, let M_2=[1]. CONJECTURE: E_N and M_N are always integral and symmetric, with M_N having diagonal entries {1,2,...} beginning at entries 1,j (j odd) in the first row and i,1 (i odd) in the first column and with zeros elsewhere.
low	A007063	c1c03acb	Exactly six of the eight coded expulsion-array diagonal sequences are permutations of the positive integers.	It is conjectured that six of the eight diagonal sequences are permutations of the positive integers.
low	A011257	a0868f0d	Every k for which the geometric mean of phi(k) and sigma(k) is integral has even sigma(k).	It is conjectured that sigma(k) for these numbers is never odd.
low	A023365	17f9ccd9	A023365(n+1) is the reduced denominator of b(n) under b(n)=b(n-1)*(3/2-b(n-1)^2), b(0)=1/2.	a(n+1) is conjectured to be the reduced denominator of b(n) = b(n-1)*(3/2 - b(n-1)^2); b(0) = 1/2.
low	A027870	bed29149	For every fixed x, only finitely many powers of 2 have exactly x zero digits.	I conjecture that any value x = 0, 1, 2, ... occurs only a finite number of times N(x) = 36, 41, 31, 34, 25, 32, 37, 23, 43, 47, 33, ... in this sequence, for the last time at well defined indices i(x) = 86, 229, 231, 359, 283, 357, 475, 476, 649, 733, 648, ...
low	A030469	83e2ce42	There are infinitely many primes formed by concatenating three consecutive primes.	It is conjectured that sequence is infinite. - from Eva-Maria Zschorn (e-m.zschorn(AT)zaschendorf.km3.de), Nov 09 2009
low	A035485	951f312f	Every integer eventually appears on top of the deck in the A035485 process.	It is conjectured that eventually every number appears on top of the deck.
low	A036229	3fa594b2	For every digit length there is a prime containing only the digits 1 and 2.	It is conjectured that such a prime always exists.
low	A037055	354a859d	A037055(n) equals A084673(n) for every n>1.	For n > 1, A037055 is conjectured to be identical to A084673.
low	A037059	19d8ab58	When the usual 1-or-2 digit replacement pattern fails, the smallest prime with n threes has the stated 4,5,7,8 replacement form, apart from a(1).	We conjecture that in the few other cases (e.g., for n = 12, 119, ...) the statement holds with some digit 3 replaced by a digit among {4, 5, 7, 8}, except for the special case a(1) = 3.
low	A037061	ceadc8fa	The least prime containing exactly n digits 4 always has the stated near-repdigit form.	We conjecture that for all n >= 0, a(n) equals [10^(n+1)/9]*40 + b with 1 <= b <= 9 and one of the (first) digits 4 replaced by a 0, 1, 2 or 3.
low	A037063	6942605c	For n>1 the least prime with exactly n digit 5s has the stated one-digit-replacement form.	We conjecture that for all n > 1, a(n) equals [10^(n+1)/9]*50 + b with 1 <= b <= 9 and one of the (first) digits 5 replaced by a 0, 1, 2, 3 or 4.
low	A037065	f6c3d664	The least prime containing exactly n digits 6 always has the stated near-repdigit form.	We conjecture that for all n >= 0, a(n) equals [10^(n+1)/9]*60 + b with 1 <= b <= 9 and one of the (first) digits 6 replaced by a digit among {0, 1, 2, 3, 4, 5}.
low	A037069	c1c87ec6	The least prime containing exactly n digits 8 always has the stated near-repdigit form.	We conjecture that for all n >= 0, a(n) equals [10^(n+1)/9]*80 + b with 1 <= b <= 9 and one of the (first) digits 8 replaced by a digit among {0, ..., 7}.
low	A039986	1b23d6d6	Exactly 19 terms of A039986 are conjectured to use four distinct digits, and none use five or more.	I conjecture that there are no more than these 6 + 9 + 3 + 1 = 19 terms (2861, 4027, 4801, 5209, 5623, 5849, 24889, 26561, 40609, 40883, 66541, 66853, 85087, 85843, 86441, 288689, 442469, 558541, 55555429) with 4, and none with 5 or more distinct digits.
low	A052362	e76390fb	All sufficiently late record indices contain a smaller term as suffix and, later, an earlier term as prefix.	I conjecture that from 103 on all d-digit terms have a smaller (most often but not always (d-1)-digit) term as suffix, and from 173 on they also have an earlier term as prefix.
low	A054531	4b971e6d	The flattened A054531 triangle gives the shortest pebble-move cycle lengths among partitions of n.	Read as a linear sequence, this is conjectured to be the length of the shortest cycle of pebble-moves among the partitions of n (cf. A201144). - _Andrew V. Sutherland_, Nov 27 2011
low	A055469	32da303e	There are infinitely many primes that are one more than a triangular number.	It is conjectured that this sequence is infinite. - _Daniel Forgues_, Apr 21 2015
low	A059100	aead3212	The largest continued-fraction coefficient of Sum_{k>=1} 1/n^(2^k) equals n^2+2.	Let s(n) = Sum_{k>=1} 1/n^(2^k). Then I conjecture that the maximum element in the continued fraction for s(n) is n^2 + 2. - _Benoit Cloitre_, Aug 15 2002
low	A060096	94c9e67e	The m=0 Euler-polynomial coefficient column equals (-1)^n A198631(n)/A006519(n+1).	The first (m=0) column of the rational triangle is conjectured to be E(n,0) = ((-1)^n)*A198631(n) / A006519(n+1).
low	A062894	e762fab1	Every term of A067836 is prime.	The prime indices of sequence A067836 (that sequence is conjectured to contain only primes).
low	A064929	5271f7c3	A034175 is a permutation of the nonnegative integers.	Square of A034175 considered as a permutation of the nonnegative integers (which it is conjectured to be).
low	A065712	540c6c03	For every fixed x, only finitely many powers of 2 have exactly x decimal digits equal to 1.	I conjecture that any value x = 0, 1, 2, ... occurs only a finite number of times N(x) = 26, 34, 30, 40, 26, 33, 39, 30, 30, 30, 38, ... in this sequence, for the last time at well defined indices i(x) = 91, 152, 185, 412, 245, 505, 346, 422, 499, 565, 529, 575, ...
low	A065714	87f8346c	For every fixed x, only finitely many powers of 2 have exactly x decimal digits equal to 3.	I conjecture that any value x = 0, 1, 2, ... occurs only a finite number of times N(x) = 34, 34, 24, 34, 39, 34, 35, 34, 35, 32, 33, 31, ... in this sequence, for the last time at well defined indices i(x) = 153, 139, 226, 237, 308, 386, 413, 506, 461, 578, 644, 732, 857, 657, 743, 768, 784, 848, 906, ...
low	A066722	1e6d2b6b	A066722 has no terms beyond those currently listed.	I conjecture there are no further terms in this sequence
low	A068193	53d1cf72	Every term of A068192 is prime.	The prime indices of sequence A068192. (That sequence is conjectured to contain only primes.).
low	A071089	02982f44	Each fixed nonnegative value is expected to occur infinitely often in A071089, with about log log x occurrences below x.	I conjecture the opposite. Heuristically a given number should appear log log x times below x.
low	A072141	7aff807e	At least one period length k never occurs for the reverse-and-subtract map.	I conjecture that for some k there are no solutions
low	A073846	785d1e71	Each of the nine specified R# trajectories has no period and hence is infinite.	   * R#(34) (A261314) has been checked up to f(34,86) = 1091595086717, R#(42) up to f(42,108) = 106838266736, R#(50) up to f(50,98) = 1078406742163, R#(60) up to f(60,80) = 765456394363, R#(74) up to f(74,78) = 687059343029, R#(82) up to f(82,75) = 682580868743  R#(86) up to f(86,74) = 182831963148, R#(88) up to f(88,66) = 719074799059, and R#(98) up to f(98,88) = 641383978721 without repeated values. Hence, their periods are either extremely large or nonexistent (infinite). I conjecture that the latter is the case. Note that these sequences are not necessarily all distinct as any two may simply be the same sequence with a large offset.
low	A076099	667a335f	The final element in each row of A076099 is obtained by lowering every prime exponent in the product of the earlier row elements by n.	I conjecture that u_n = product(i=1 to r) p_i^(ei - n).
low	A083480	27fe9805	The row lengths of the compressed Gaussian-polynomial array A083480 follow the displayed stuttering pattern indexed by A002620.	Row sums => A000041. Diagonals are sums of Gaussian polynomials (which then sum to powers of two). The number of entries on each row is conjectured to conform to: 0 1 1 1 2 2 3 3 4 5 5 6 7 7 8 9 10 10 11 12 13 13 14 15 16 17 17 ... a sequence which stutters after values 0,1,2,4,6,9,12,16,...A002620.
low	A084923	fe063de2	The iteration taking the greatest prime factor of 3b+2 eventually enters a cycle for every starting n.	It is conjectured that this always becomes cyclic
low	A087092	7f527b03	Every square size not listed in A087092 admits the specified descending-square packing.	It is conjectured that the answer is all except those in this sequence.
low	A087711	5d82324f	For every positive n, the prime-gap sequence A087711 equals three minima defined using phi and sigma (equivalently, satisfies the stated three comparison inequalities).	Let b(n), c(n) and d(n) be respectively, smallest number m such that phi(m-n) + sigma(m+n) = 2n, smallest number m such that phi(m+n) + sigma(m-n) = 2n and smallest number m such that phi(m-n) + sigma(m+n) = phi(m+n) + sigma(m-n), we conjecture that for each positive integer n, a(n)=b(n)=c(n)=d(n). Namely we conjecture that for each positive integer n, a(n) < A244446(n), a(n) < A244447(n) and a(n) < A244448(n). - _Jahangeer Kholdi_ and _Farideh Firoozbakht_, Sep 05 2014
low	A088201	d729bb22	Every A088201 value is conjectured to be an odd prime greater than 3, with primality itself noted as provable.	The terms are conjectured to be odd primes > 3 (the primality is provable).
low	A088643	24717435	Apart from a negligible exceptional set, each row ends with exactly the first seven, but not eight, terms of A055265 in reverse-row alignment.	I conjecture that almost all rows have exactly 7 (but not more) trailing terms in common with the initial terms of A055265 = (1, 2, 3, 4, 7, 6, 5, 8, ...)
low	A091366	77a25c7a	Terms of A091366 whose decimal digit sum is prime have relative density zero in the sequence.	I conjecture the contrary: the relative density of numbers in this sequence with prime digit sum is 0.
low	A091508	81746e66	For every starting n, the recurrence b(k) eventually reaches 1.	I conjecture a(n) always exists.
low	A092356	4f22b60f	Every integer at least 2 occurs as the multiplier k represented by A092356.	I conjecture that every positive integer >= 2 must appear.
low	A092517	c649b541	The number of bases b allowing the stated (n+1)-term power representation of (n+1)^2 equals tau(n)*tau(n+1).	It is conjectured that for all n the number of possible b reaches a(n).
low	A093492	779cddd5	The divisor-symmetry values in A093492 are unbounded.	I conjecture that the sequence is unbounded.
low	A094776	4d128828	The stated values are conjectured extensions of the largest exponents whose powers of two omit each multi-digit string n.	I conjecture that for n = 10, 11, 12, ... it continues (2000, 3020, 1942, 1465, 1859, 2507, 1950, 1849, 1850, ...).
low	A098860	5bea308b	Each prime listed by A098860 makes the stated generalized Collatz map converge to one cycle from every natural-number starting value.	Primes that are conjectured to lead to a one-cycle for every natural number x in the following (nontrivial) generalization of the (3x+1) problem.
low	A099309	1bb69d96	Every A099309 arithmetic-derivative orbit eventually reaches a number of the form m p^p.	Numbers of the form n = m*p^p (where p is prime), i.e., multiples of some term in A051674, have n' = (m + m')*p^p, which is again of the same form, but strictly larger iff m > 1. Therefore successive derivatives grow to infinity in this case, and they are constant when m = 1. There are other terms in this sequence, but I conjecture that they all eventually lead to a term of this form, e.g., 26 -> 15 -> 8 etc. - _M. F. Hasler_, Apr 09 2015
low	A102730	5e823442	A102730 is unbounded.	I conjecture the contrary: for every k, there exists n with a(n) > k.
low	A104638	81743608	The prime sequence A159352 is infinite.	On the other hand, a(n) = 2 if prime(n) is in A159352, which is conjectured to be infinite.
low	A110566	d57bf9d6	Every odd integer occurs in A110566.	It is conjectured that every odd number occurs in this sequence (see A112822 for the first occurrence of each of them). - _Jianing Song_, Nov 28 2022
low	A116863	27356b99	Row n of the quadratic-Casimir coefficient array sums to 3*A002415(n+1).	The row sums are conjectured to be 3*A002415(n+1)= [3, 18, 60, 150, 315, 588, 1008, 1620, 2475, 3630,...]
low	A117831	dac2975f	For every starting n, the sequence S_n eventually reaches a cycle.	It is conjectured that S_n always reaches a cycle.
low	A118510	1727d66b	Every reverse-digits-and-add-1 trajectory reaches a 9-cycle.	It is conjectured that S_m always reaches a cycle of length 9, as in A117230.
low	A118514	f58f6c5d	Every reverse-digits-and-add-2 trajectory eventually reaches a cycle.	It is conjectured that S_n always reaches a cycle.
low	A118522	191514e2	Every reverse-digits-and-add-3 trajectory eventually reaches a cycle.	It is conjectured that S_n always reaches a cycle.
low	A118767	e8808d2c	A118767 has additional fixed points beyond 10^8.	I conjecture that there will be more terms past 10^8.
low	A120160	1827820b	From a(11) onward, A120160 is exactly the set of circle sizes whose every-fifth-person Josephus survivor is 1, 2, 3, or 4.	Starting at a(11) = 5, we conjecture that this sequence gives all those numbers m for which when we place m persons on a circle, label them 1 through m, start counting at person number 1, and remove every 5th person, the last survivors have numbers in {1, 2, 3, 4}.
low	A131613	a21d339e	For every k>56, the decimal expansion of 3^k contains a digit 9.	I conjecture that 56 is the last term.
low	A131629	11c3a777	For every k>84, the decimal expansion of 3^k contains a digit 3.	I conjecture that 84 is the last term.
low	A131937	0f767c9c	The alternating complement-partial-sum iteration has universal stable limits A131938 and A131937, independent of the starting sequence.	Conjecture: Starting with any infinite positive integer sequence A1(n) whose complement is also infinite, let B1(n) be the sequence of partial sums of the complement of sequence A1. Let A2(n) be the sequence of partial sums of the complement of sequence B1. Iteratively let B[k](n) be the sequence of partial sums of the complement of sequence A[k], and let A[k+1](n) be the sequence of partial sums of the complement of sequence B[k]. Call the stable iterative limit sequences A(n) and B(n), which are universal and do not depend upon the initial sequence A1(n). These two limiting sequences are conjectured to be A131938 and this A131937.
